timestamp,tweet_text,username,all_hashtags,followers_count
2021-11-20 17:21:27+00:00,"London,Oxford St,Nov 20 2021 Antivax March reportage.Please visit https://t.co/CFRiOhDVDM and https://t.co/ztLuKAWQ34 for updated… #flickr https://t.co/RXyXmWL2Xm #antivax @AntiVaxWatchOrg #protest #londonprotest #antivaxxer @thetimes @Telegraph @AP @streetphotogldn",b'fastphil200',"['flickr', 'antivax', 'protest', 'londonprotest', 'antivaxxer']",30
2021-11-20 16:58:59+00:00,"With an official worldwide #COVID19 death total of 5.1 million, you really have to have more than a few nuts and bolts missing to be an #antivaxxer. If you don't believe in medicine and science, what do you believe in - reading tea leaves? star signs?",b'kevonhissoapbox',"['COVID19', 'antivaxxer']",1498
2021-11-20 16:53:20+00:00,"I'm in a rare bad mood today. Why?  A close family member said ""Some experts are being silenced!"" when #COVID19 came up at dinner, and TBH as they started spouting #antivaxxer noise, I felt sick.  Smart people who don't #ListenToExperts can fall prey to doubt and #misinformation. https://t.co/Eomo6yyrKK",b'ScienceNotDogma',"['COVID19', 'antivaxxer', 'ListenToExperts', 'misinformation']",10673
2021-11-20 16:25:32+00:00,An #AntiVaxxer will never be a statistic on the VAERS  #JustSayin,b'Poisonflats',"['AntiVaxxer', 'JustSayin']",2272
2021-11-20 15:37:22+00:00,"@CBCToronto @fordnation is doing everything he &amp; his incompetent health minister @celliottability to reverse it! More power to the #antivaxxer ""healthcare"" workers, no protection to cancer patients trying to access service from #antivaxxer protests?",b'Crazy_CanuckCan',"['antivaxxer', 'antivaxxer']",82
2021-11-20 15:17:58+00:00,"@CP24 Don't worry! @fordnation, @celliottability &amp; @Sflecce have given #AntiVaxxer healthcare workers the authority to serve you!",b'Crazy_CanuckCan',['AntiVaxxer'],82
2021-11-20 13:54:08+00:00,"I’m no #AntiVaxxer, but I am #AntiStipidPoliticalGames and #AntiPretendingItsScienceWhenItsReallyPolitics (I’m sure neither of those hashtags will trend)  Check out this article, I think it’s 💯% on point #cdnmedia #cdnpoli #PublicHealth #Covid_19   https://t.co/IuhWGkOEnu",b'Sir_Acumen',"['AntiVaxxer', 'AntiStipidPoliticalGames', 'AntiPretendingItsScienceWhenItsReallyPolitics', 'cdnmedia', 'cdnpoli', 'PublicHealth', 'Covid_19']",64
2021-11-20 12:03:23+00:00,Do not follow me if you are an active #antivaxxer creating damages to my life,b'wawwoski1',['antivaxxer'],6374
2021-11-20 10:46:53+00:00,"@LuizCarvalhoUK @kavitavedhara I think we are talking about the “belief system”, Luiz. As mad as it sounds, these people really believe they are doing the best for themselves and their communities - mad, I know! I for one love the idea of confining them to their own homes or isolated #antivaxxer communities 😅",b'guta1610',['antivaxxer'],1602
2021-11-20 09:27:44+00:00,@brian13cem @Mad_BB21 Hey hey boomer 😂 please tell me in your own words how you would describe an #antivaxxer .. 🙄😏,b'd4_veh',['antivaxxer'],792
