timestamp,tweet_text,username,all_hashtags,followers_count
2021-11-08 10:10:38+00:00,SAVE ME - COVER REVEAL #SaveMe by @JuliaCrosswood #SaveMeCoverReveal #ComingSoon #NewAdultContemporary #MeSeries Releasing 12.8 #SignUp https://t.co/hs2bzD3MVw #GR https://t.co/zKqsNaYASO Hosted @TheNextStepPR https://t.co/KDyu02nxxP,b'TheNextStepPR',"['SaveMe', 'SaveMeCoverReveal', 'ComingSoon', 'NewAdultContemporary', 'MeSeries', 'SignUp', 'GR']",5650
2021-11-08 10:09:00+00:00,♡♡ COVER REVEAL ♡♡ #SaveMe by @JuliaCrosswood #SaveMeCoverReveal #ComingSoon #NewAdultContemporary #MeSeries Releasing 12.8 #SignUp https://t.co/QiTy01reRv Hosted @TheNextStepPR https://t.co/CmzxkBjDDF,b'kikichat83',"['SaveMe', 'SaveMeCoverReveal', 'ComingSoon', 'NewAdultContemporary', 'MeSeries', 'SignUp']",3554
2021-11-08 08:20:04+00:00,i dont want offline only online exam same as jan21  pattern. or 100% mcq or nothing.  same pattern i want no rubbish pattern. #Justiceforcmastudents #Savecmacourse #SaveMe,b'TheIndoFail862',"['Justiceforcmastudents', 'Savecmacourse', 'SaveMe']",1
2021-11-08 04:27:58+00:00,My body after a full 3 hours of choreography...lordty...   #musicaltheater #theater #iampain #saveme #oNeMoReTiMe,b'OliviaVanKley',"['musicaltheater', 'theater', 'iampain', 'saveme', 'oNeMoReTiMe']",65
2021-11-08 02:14:45+00:00,https://t.co/gDsZ1KomYw (KUDDLES) TBD 11/9/21 at NOON Numerous Times on TBD List! He is a loving sweet senior don't let them KILL HIM!! #SOS #NYC #ADOPT #SaveMe #Please,b'Maree71439592',"['SOS', 'NYC', 'ADOPT', 'SaveMe', 'Please']",9111
2021-11-08 01:54:02+00:00,Currently completing a sexual harassment training for work. It’s obviously necessary but the content is so corny! 🤣 #SaveMe,b'rivtrades',['SaveMe'],12
2021-11-08 01:13:40+00:00,I'm not okay! #SaveMe https://t.co/vyW2mQXN9X,b'AillaPutri1',['SaveMe'],1
2021-11-08 01:00:21+00:00,"Hi, my name is Pook, I am around 60 lbs and about 3 years old, I arrived as a stray, so not much is known about me, but I’m just a good ole boy in search of my forever home now! I have these wonderful two colored mesmerizing eyes to draw you in! #saveme #adoptme https://t.co/AGqqeZ01JF",b'INDYACS',"['saveme', 'adoptme']",2890
2021-11-08 00:48:00+00:00,https://t.co/yBWs2okIeA ❣SHADOW❣ *3RD Time on TBD List* TBD 11/9/21 at Noon  SHADOW is a loving playful young panther boy. He loves hanging out with humans. He's adorable and gorgeous. #SOS  He's been on TBD List before. He could be Killed Tuesday!! #SaveMe  #SOS #NYC #ADOPT https://t.co/HNK2yEfgmv,b'Maree71439592',"['SOS', 'SaveMe', 'SOS', 'NYC', 'ADOPT']",9111
2021-11-08 00:40:14+00:00,https://t.co/E7wwYVYUBn 💛PATCH💛 *Relisted Again* TBD 11/9/21 at Noon  PATCH is a handsome sweet young man who's owner can't care for him anymore. He's been on TBD List before. He could be Killed Tuesday!! #SOS Look at that sad little face #SaveMe #NYC #ADOPT https://t.co/DhykUim7JI,b'Maree71439592',"['SOS', 'SaveMe', 'NYC', 'ADOPT']",9111
2021-11-08 00:33:47+00:00,"Question for #momtwitter, is today the longest day to ever be lived for everyone or is it just at my house. #saveme #DaylightSavingTime",b'emchowell',"['momtwitter', 'saveme', 'DaylightSavingTime']",6
2021-11-08 00:30:43+00:00,"https://t.co/u38ly0pybD 🤎TEKASHI🤎 *Relisted Again* TBD 11/9/21 at Noon TEKASHI is a handsome loving young boy who was dumped by his owner b/c of ""new baby"" He's been on TBD List numerous times. He could be Killed Tuesday.  #SaveMe #NYC #SOS https://t.co/kaxrJc6WZw",b'Maree71439592',"['SaveMe', 'NYC', 'SOS']",9111
2021-11-08 00:22:08+00:00,https://t.co/cmSkyI5bju 🌷FRANNY🌷 *Relisted Again* TBD 11/9/21 at Noon FRANNY is a gorgeous sweet young girl who was found injured on the highway. She's been on TBD List numerous times. She could be Killed Tuesday! #SaveMe  #SOS #NYC #ADOPT https://t.co/1UsyBtKMDe,b'Maree71439592',"['SaveMe', 'SOS', 'NYC', 'ADOPT']",9111
2021-11-08 00:18:29+00:00,https://t.co/QzASWj6Iyk 💗SOLO💗 *Relisted Again* TBD 11/9/21 at Noon  SOLO is a handsome loving young boy who was dumped b/c of Allergies.  He has been on TBD List numerous times. He could be Killed Tuesday!! #SaveMe #NYC #ADOPT https://t.co/DysUwBqCMc,b'Maree71439592',"['SaveMe', 'NYC', 'ADOPT']",9111
2021-11-08 00:15:24+00:00,https://t.co/ByfNlnRtgg 👑QUEENIE👑 *Relisted Again* TBD 11/9/21 at Noon QUEENIE is a sweet beauty  Who's been on TBD List numerous https://t.co/eje9Pb0S3a Her! She could be Killed Tuesday!! #SaveMe  #NYC #SOS #ADOPT https://t.co/ut6SwJHQ2e,b'Maree71439592',"['SaveMe', 'NYC', 'SOS', 'ADOPT']",9111
2021-11-08 00:04:23+00:00,I hang with gay people and be having the nerve to say everybody gay… #saveme,b'melieonated',['saveme'],659
2021-11-07 23:00:45+00:00,"Hi, I’m Bosfoo! I’m a little over a year old. 55 lbs, and arrived as a stray, so not much is known about me! I’m still a young pup so full of energy! So when I first meet you, I might jump up for love and attention! I’m a very pretty girl! I know sit! #saveme #adoptme https://t.co/WJHM5YlVbR",b'INDYACS',"['saveme', 'adoptme']",2890
2021-11-07 21:43:00+00:00,Check out my latest cover of “Save Me” from JellyRoll - https://t.co/Jll78oakrw @JellyRoll615 #jellyroll #saveme @JellyRoll615,b'Simply_Dana_',"['jellyroll', 'saveme']",68
2021-11-07 21:00:51+00:00,"Hello, my name is Cassie! I’m around 5 years old and a calmer, sweet, timid gal, the most important thing to know about me is that I am shy meeting new people, but I have not had the best start to my life and came in as a confiscate #saveme #adoptme https://t.co/MnJO6IaGhM",b'INDYACS',"['saveme', 'adoptme']",2890
