timestamp,tweet_text,username,all_hashtags,followers_count,favourites
2021-11-20 13:55:14+00:00,https://t.co/rf3ZRxU5TL Covid holocaust that never was: Africans now carry masks ‘to protect my pocket’ against the police #coronavirus #Corona #coronadebat #Covid_19 #USA #USDT #vaccine #vaccination #RailaInTransnzoia #Londn #india #NBA #Africans #Africa #BlackLivesMatter #Dubai https://t.co/4HOMX2kdqP,b'TellNews52',"['coronavirus', 'Corona', 'coronadebat', 'Covid_19', 'USA', 'USDT', 'vaccine', 'vaccination', 'RailaInTransnzoia', 'Londn', 'india', 'NBA', 'Africans', 'Africa', 'BlackLivesMatter', 'Dubai']",255,0
2021-11-20 13:55:13+00:00,"schedule for #COVID19 #vaccination in Jammu District… for Nov 21, 21 https://t.co/QzH0E5aQyb",b'RJjuhie',"['COVID19', 'vaccination']",2368,0
2021-11-20 13:53:34+00:00,St Kitts and Nevis reports 2 new COVID-19 cases in last 24 hrs https://t.co/7DkUUFZPtm #covid19 #covid #pandemic #world #Caribbean #vaccine #vaccination #2021  @pmharriskn,b'TimesAssociates',"['covid19', 'covid', 'pandemic', 'world', 'Caribbean', 'vaccine', 'vaccination']",1221,0
2021-11-20 13:52:45+00:00,"""Mandatory #vaccination measures should be seen as a last resort, it would be very timely to have a legal &amp; societal debate about the issue. ... the Covid pass is not a restriction of liberty, rather it is a tool to keep our individual freedom."" @WHO https://t.co/njeJzX4HuC",b'E_Hunyadi',['vaccination'],6215,0
2021-11-20 13:52:10+00:00,Ok...my hungover take on #Anfang Fuck you man...First I am glad the club forced him to resign... if you are creepy about your vaccination... how can you be trusted to lead a team? #Anfang #Ende #vaccination #Werder    Btw that twat Kimmich should thank Anfang,b'KCBundesliga',"['Anfang', 'Anfang', 'Ende', 'vaccination', 'Werder']",679,7
2021-11-20 13:48:47+00:00,Standing just inside George street entrance to Bon Accord watching a very steady queue going through the vaccination centre. Waiting on husband. Looks busy but pretty slick. #Covid #vaccination #NHSG,b'Moomum64',"['Covid', 'vaccination', 'NHSG']",488,1
2021-11-20 13:45:24+00:00,"Trinidad and Tobago logs 491 new COVID-19 cases, 11 new deaths https://t.co/faVwXEgpKr #covid19 #covid #pandemic #world #Caribbean #vaccine #vaccination #2021  @DrKeithRowley",b'TimesAssociates',"['covid19', 'covid', 'pandemic', 'world', 'Caribbean', 'vaccine', 'vaccination']",1221,0
2021-11-20 13:44:35+00:00,Department will coming up with a holistic approach to ensure all eligible persons are vaccinated: Medical Minister Pangnyu #Nagaland #COVID19 #vaccination Read more: https://t.co/Cw7XwIEZFH https://t.co/5BpA1mXC89,b'Hillsnaga',"['Nagaland', 'COVID19', 'vaccination']",2458,1
2021-11-20 13:42:18+00:00,That's what happens when you tell people who are mRNA'd with a leaky vaccine to live their best lives and eat in 60 restaurants a week.  #vaccination #maskmandate https://t.co/uwjY1n7TuP,b'perdidostschool',"['vaccination', 'maskmandate']",2354,17
2021-11-20 13:42:05+00:00,#Thanksgiving2021 conflict is not about #voting but #vaccination.  Read my latest @PsychToday column for some tips to keep the peace https://t.co/XT4nTfQ3uO https://t.co/7DuLvFGDgG,b'WendyPatrickPhD',"['Thanksgiving2021', 'voting', 'vaccination']",1868,0
2021-11-20 13:38:42+00:00,The Tamil Nadu state government has started the process to make #COVID19 #vaccination mandatory for people to visit public places https://t.co/xXhvBMjTjH,b'XpressCinema',"['COVID19', 'vaccination']",12425,2
2021-11-20 13:35:25+00:00,"St Lucia, Grenada and Haiti elected in UNESCO's Executive Board https://t.co/GrXDuPYFiz #covid19 #covid #pandemic #world #Caribbean #vaccine #vaccination #2021 #UN #UESCO @ComradeRalph @VoteKeith2013 @DrArielHenry @UN @UNESCO",b'TimesAssociates',"['covid19', 'covid', 'pandemic', 'world', 'Caribbean', 'vaccine', 'vaccination', 'UN', 'UESCO']",1221,0
2021-11-20 13:30:00+00:00,"Here are all the #COVID19 #vaccination opportunities being offered today.   📅 Saturday, November 20  🚶‍🚶‍Walk-in clinics • Carmichael Arena, Sudbury, 9 a.m. to 3 p.m.  • S. Geiger Public School, Massey, 9:30 a.m. to 3 p.m.  https://t.co/PFz1CDXsJV https://t.co/imAm49SJPV",b'PublicHealthSD',"['COVID19', 'vaccination']",5589,2
2021-11-20 13:28:59+00:00,Investigation launched into abnormal spike in newborn baby deaths in Scotland   #svpol #vaccination #corona #coronavirus   https://t.co/pg1cAV3G2A,b'Fackens_S',"['svpol', 'vaccination', 'corona', 'coronavirus']",20,0
2021-11-20 13:28:08+00:00,We’re using #Moderna. Why? Because it’s the one with the best results in real life. #vaccination #Pfizer #Biontech https://t.co/JC8uxfvsiE,b'my_online_doc',"['Moderna', 'vaccination', 'Pfizer', 'Biontech']",1305,1
2021-11-20 13:25:45+00:00,It’s been a week since receiving my booster #vaccination  Here’s what’s happened since…1/🧵… https://t.co/EOAaJOmmw7,b'DrK_W1984',['vaccination'],2602,0
2021-11-20 13:24:59+00:00,#Vaccination #Covid19 Cases in #Pune Wear mask &amp; maintain #CAB #Covid19 #MaskUpPune  86 New cases ⬆️ 849 Active ⬆️ 93 Critical ⬇️ 81 discharged ⬇️ 4719 Testing ⬇️ 🟢02 Deaths 🟢 ⬇️ https://t.co/yWD8115CGS https://t.co/CnEMmO4z8j,b'Manojpochat',"['Vaccination', 'Covid19', 'Pune', 'CAB', 'Covid19', 'MaskUpPune']",1600,1
2021-11-20 13:24:42+00:00,I “stuck” with Pfizer! 😜 #Booster #COVID19 #vaccination #GetVaccinatedNow https://t.co/OSpXQFlF45,b'Debbie_Rota',"['Booster', 'COVID19', 'vaccination', 'GetVaccinatedNow']",203,0
2021-11-20 13:15:15+00:00,@Manulife targets January 2022 for employees to #ReturnToOffice and will employ a #hybridwork model w/ mandatory #COVID19 #vaccination | @globebusiness #ReturnToWork #WorkFromAnywhere #office #WFH #BackToOffice  https://t.co/QMGLNdiCBB,b'OfficeOccupier',"['ReturnToOffice', 'hybridwork', 'COVID19', 'vaccination', 'ReturnToWork', 'WorkFromAnywhere', 'office', 'WFH', 'BackToOffice']",544,1
2021-11-20 13:15:01+00:00,Today FREE COVID-19 Vaccines available in Orlando at Metro Place Apartments on Kirkman Rd. 10am-1pm. This is at the UCF Soldiers to Scholars Health Fair event.  ✔️ Children's Pfizer vaccines available   https://t.co/QjCqiOtHJO @DohOrange #vaccine #vaccination #health #IGotMyShot https://t.co/GwLGuBdVHe,b'OrangeCoFL',"['vaccine', 'vaccination', 'health', 'IGotMyShot']",56687,6
2021-11-20 13:13:47+00:00,"#LiveStream Coverage as Large #Protests Break Out in #Vienna, #Austria Over New #COVIDー19 #Lockdown Measures, Mandatory #Vaccination Order: https://t.co/eXyumMUIRY #Europe",b'MiguelDante',"['LiveStream', 'Protests', 'Vienna', 'Austria', 'COVIDー19', 'Lockdown', 'Vaccination', 'Europe']",5375,0
2021-11-20 13:07:04+00:00,"Geert Vanden B Historic interview for @HighWireTalk, host @delbigtree sits down with Vaccinologist, Geert Vanden Bossche, to hear the dire warning about mass #Covid #vaccination of #children, and the catastrophe which may follow.  https://t.co/zbviQLarO8 https://t.co/rFyBX2zGVJ https://t.co/qEnD9hgsJv",b'SamMetc35688623',"['Covid', 'vaccination', 'children']",40,1
2021-11-20 13:06:29+00:00,Booster done. #Covid_19 #Booster #vaccination #Nottingham https://t.co/97f8EZYofh,b'stuart_baird',"['Covid_19', 'Booster', 'vaccination', 'Nottingham']",1505,3
2021-11-20 13:05:59+00:00,Germany less #vaccination resulting into  holds onto Biontech jabs as its Moderna stock risks expiry- report  #COVID19 #coronavirus #CovidVaccine #CoronaVaccine #Germany #lockdown https://t.co/hOCWhMufCk,b'RiyazHanfi',"['vaccination', 'COVID19', 'coronavirus', 'CovidVaccine', 'CoronaVaccine', 'Germany', 'lockdown']",251,0
2021-11-20 13:02:20+00:00,"Mass #vaccination may enhance not reduce the #Covid 19 disease in the population as escape mutations rise from a non-sterilising leaky #vaccine.  This is why getting a jab may become frequent and permanent. The immune system may be weakened as a result, especially i kids",b'Luca_Bo_',"['vaccination', 'Covid', 'vaccine']",2776,1
2021-11-20 12:58:45+00:00,"Are some of the double jabbed people in hospital ones who overlooked the ‘No Booze for 2 weeks after the jab advice’?  Tho I must say, it was quietly uttered. #vaccination",b'Theodora8',['vaccination'],2478,0
2021-11-20 12:58:04+00:00,"#coronaupdates in Daman at 6 PM, 20/11/2021 #damanfightscorona #Vaccination in Daman on 20/11/2021 https://t.co/qOnGT3RNSN",b'CollectorDaman',"['coronaupdates', 'damanfightscorona', 'Vaccination']",5169,5
2021-11-20 12:56:48+00:00,My favorite thing on social media this week. #nfl #vaccination #shitshow https://t.co/rlzDc8sQ2n,b'NYSPORTSGINGER',"['nfl', 'vaccination', 'shitshow']",956,10
2021-11-20 12:53:04+00:00,"@tn2point0 COVID19 is not yet over. It’s a long war to fight.  After nearly 2yrs We are now better equipped with knowledge about #COVID19 , vaccination and a few treatment options.   #vaccination safes lives. The benefits clearly outweigh the risk.",b'imaximus2012',"['COVID19', 'vaccination']",417,0
2021-11-20 12:50:59+00:00,".@MoHFW_INDIA has activated a service on the #CoWIN portal that allows anyone to check an individual's #vaccination status with the person's registered mobile number and name, followed by an OTP for consent. 💉  Here's how it works 👇 https://t.co/qQtAfo8X8a  #COVID19Vaccine",b'moneycontrolcom',"['CoWIN', 'vaccination', 'COVID19Vaccine']",1211541,11
2021-11-20 12:50:42+00:00,"The way I see it:  we all want the pandemic to be over ASAP, and getting vaccinated is just my tiny part in making that happen. #vaccination",b'GayleAlstrom',['vaccination'],514,0
2021-11-20 12:49:41+00:00,#HarGharDastak  #vaccination  We have successfully crossed 111 crore Mark..why no media is talking about... https://t.co/CpStYOPYyy,b'bramprasad17',"['HarGharDastak', 'vaccination']",397,0
2021-11-20 12:47:56+00:00,Pop up #Covid_19 #vaccination  the world has officially gone mad 😡 https://t.co/se4q6W4Cdi,b'lee_cottam',"['Covid_19', 'vaccination']",783,0
2021-11-20 12:41:34+00:00,Now flaunt your #vaccinebadge!  Share #vaccination status with friends &amp; family through #CoWIN portal with 2 easy steps: - Enter name &amp; mobile no - Enter OTP  Get vaccinated &amp; defeat #COVID19  Visit: https://t.co/5DRtAi4zAH  @ZeeBusiness @mansukhmandviya @mohfw_india,b'pandeyambarish',"['vaccinebadge', 'vaccination', 'CoWIN', 'COVID19']",369,0
2021-11-20 12:39:06+00:00,Yes! It was simple to register &amp; I'm getting my booster today!  😷💪 #vaccination https://t.co/Wyf7S14xJG,b'RepEWeight',['vaccination'],2309,3
2021-11-20 12:38:57+00:00,13 year old son has been to get his vaccine (sat here for the 15 minute wait after) &amp; must say I'm impressed with how all staff at the vaccine centre spoke directly to him &amp; not me. #nhs #CovidVaccine #vaccination #under16,b'LilyRaynor',"['nhs', 'CovidVaccine', 'vaccination', 'under16']",223,1
2021-11-20 12:36:27+00:00,Devinette ! 🤓 #vaccination #3emeDose https://t.co/rQXtaJgUbR,b'JacquesECamara',"['vaccination', '3emeDose']",6,0
2021-11-20 12:32:52+00:00,The latest wave of covid-19 is harrowing German-speaking countries. An alliance of anti-vaxxers and the far right is largely to blame #covid19 #vaccination #Germany @TheEconomist  https://t.co/60ib3qoyhF,b'lasleh',"['covid19', 'vaccination', 'Germany']",12648,12
2021-11-20 12:32:25+00:00,+++ Bavaria: Tough corona countermeasures  ❗ Latest #News from #Germany 👉 https://t.co/SmoZBxdutq  #NewsDE #corona #covid19 #coronavirus #Pandemic #vaccination #Lockdown #Bavaria https://t.co/BwngCHpnlJ,b'en_germany',"['News', 'Germany', 'NewsDE', 'corona', 'covid19', 'coronavirus', 'Pandemic', 'vaccination', 'Lockdown', 'Bavaria']",301499,15
2021-11-20 12:30:00+00:00,#Austria will be a second version of #China . Everyone can be followed everywhere.  #lockdown #vaccination #coronavirus #Covid_19,b'phyllonemus',"['Austria', 'China', 'lockdown', 'vaccination', 'coronavirus', 'Covid_19']",9,1
2021-11-20 12:28:52+00:00,Bihar Woman Dies After Taking Second Dose of COVID-19 Vaccine   #Bihar #COVID19Vaccine #Vaccination  https://t.co/Ao8vIqqd0D,b'latestly',"['Bihar', 'COVID19Vaccine', 'Vaccination']",71377,0
2021-11-20 12:27:49+00:00,How to prepare your child for their #COVID19 #Vaccination | #VaccinesSaveLives  https://t.co/lzgvkt3KKV via @GoogleNews,b'daveschulz',"['COVID19', 'Vaccination', 'VaccinesSaveLives']",1208,1
2021-11-20 12:26:11+00:00,A new feature “Know Your #Vaccination Status” has been enabled on the #CoWIN digital platform. This will help to verify/retrieve a citizen’s vaccination status/details as per the authorised rights of the verifying entity by Co-WIN/MoHFW: Government of India   #COVID19 #TV9News,b'tv9gujarati',"['Vaccination', 'CoWIN', 'COVID19', 'TV9News']",692489,1
2021-11-20 12:20:16+00:00,https://t.co/Fi4Ql4MsxQ Excellent! Can't wait to get back on a Singapore Airlines plane again! #Manchester #manchesterairport #manairport #singaporeair #Singapore #flights #VTL #vaccination,b'marcm48',"['Manchester', 'manchesterairport', 'manairport', 'singaporeair', 'Singapore', 'flights', 'VTL', 'vaccination']",138,0
2021-11-20 12:14:42+00:00,"No #Covid_19 death in 24 hours in #Bangladesh after 20 months as the total deaths reached to 27,946.  #coronavirus infection crossed 15,73800.  #pandemic  #Corona  #vaccination https://t.co/lr430KwwCZ",b'RashadAhamad_BD',"['Covid_19', 'Bangladesh', 'coronavirus', 'pandemic', 'Corona', 'vaccination']",197,0
2021-11-20 12:12:46+00:00,"Rest of the World is going through a strong 4th wave, but we know have vaccines and other methods to protect ourselves. #covid4thwave #vaccination https://t.co/ulUDEWsAYw",b'vijay27anand',"['covid4thwave', 'vaccination']",20293,85
2021-11-20 12:10:00+00:00,🇩🇪⚕️📈  New COVID-19 measures - Why was Germany not prepared for its fourth wave? https://t.co/PPbdUK2LCL via @dwnews   #Germany #pandemic #decisionmaking #leadership #politics #vaccine #vaccination #Covid_19 #COVID19 #COVID #fourthwave #restrictions,b'vubblePOP',"['Germany', 'pandemic', 'decisionmaking', 'leadership', 'politics', 'vaccine', 'vaccination', 'Covid_19', 'COVID19', 'COVID', 'fourthwave', 'restrictions']",3189,0
2021-11-20 12:09:39+00:00,@seventiessally The #lockdown has already led to a drop in childhood #vaccination rates.  https://t.co/VQKukjJSTi,b'KimKarlstein',"['lockdown', 'vaccination']",132,1
2021-11-20 12:08:07+00:00,"With phone number and name, anybody can now check vaccination certificate on CoWIN portal  https://t.co/JTBWSI68ch #Vaccination",b'Oneindia',['Vaccination'],65022,1
2021-11-20 12:02:00+00:00,The program was abruptly discontinued when military officials discovered that approximately one in ten soldiers actually refused vaccination just to 𝘨𝘦𝘵 the punishment  #vaccinemandates #vaccines #vaccination #punishment #NoVaccineMandates https://t.co/3DxCN0tgsI,b'Dirk_Matter',"['vaccinemandates', 'vaccines', 'vaccination', 'punishment', 'NoVaccineMandates']",359,1
2021-11-20 12:01:41+00:00,"I do not condone frightening children, but that is both frightening them to push them to be vaccinated and to frighten them of being vaccinated.  But if the government wants respect do not blackmail those you serve #vaccination #Covid_19 #BorisJohnson",b'sarah87646865',"['vaccination', 'Covid_19', 'BorisJohnson']",0,0
2021-11-20 11:55:17+00:00,Great to be out promoting #dementia #research at a #flu #vaccination clinic in #Daventry today @beatdementia @NIHRCRNEastMids https://t.co/GMN5zONolg,b'hayley_metta',"['dementia', 'research', 'flu', 'vaccination', 'Daventry']",119,0
2021-11-20 11:50:56+00:00,● NEWS ● #CounterPunch #de ☞ German #Vaccination Hesitancy: a Union View https://t.co/AdVt1T2rhQ,b'schestowitz',"['CounterPunch', 'de', 'Vaccination']",7378,0
2021-11-20 11:48:33+00:00,When is India going to do away with the Mask culture.. #Justasking #India #COVID19 #vaccination,b'GyaniGuruu',"['Justasking', 'India', 'COVID19', 'vaccination']",20,0
2021-11-20 11:44:39+00:00,How to show your kids love and support? #vaccination make it a safe family.  https://t.co/zbSkBlAt4j,b'jryerson1',['vaccination'],3037,1
2021-11-20 11:40:22+00:00,It happens only in 🇮🇳 #Vaccination https://t.co/HvI7h6KWap,b'GreenMirchiii',['Vaccination'],497,1
2021-11-20 11:36:18+00:00,".  Geert Vanden Bossche's dire warning about mass #Covid #vaccination of #children, and the catastrophe which may follow.  ‘If this is not going to be a catastrophe, then you can put me in jail’ !! . https://t.co/pwd6Gk4OWA",b'specialXservice',"['Covid', 'vaccination', 'children']",5609,0
2021-11-20 11:36:10+00:00,#Service #providers can now check #vaccination status of an individual on #CoWIN portal with #consent @MoHFW_INDIA @COVIDNewsByMIB @AyushmanNHA https://t.co/gM5tuCKKFl,b'RisingKashmir',"['Service', 'providers', 'vaccination', 'CoWIN', 'consent']",196855,5
2021-11-20 11:30:12+00:00,Mix-and-match #Covid #vaccines ace the effectiveness test #Covid_19 #vaccine #vaccination  https://t.co/M6bLwGqcBZ,b'Nightingal_news',"['Covid', 'vaccines', 'Covid_19', 'vaccine', 'vaccination']",702,0
2021-11-20 11:29:07+00:00,With #vaccination on course now is a good time to lift the curfew. The night economy supports thousands of families and is a major pillar of the service sector. #Besafe #Uganda #lifewithcovid19 @KagutaMuseveni,b'Opiaiya',"['vaccination', 'Besafe', 'Uganda', 'lifewithcovid19']",57338,13
2021-11-20 11:27:31+00:00,The National Command and Operation Centre (NCOC) announced on Saturday that coronavirus vaccination for children between 12 to 15 years of age will remain suspended till November 27. https://t.co/9nWouAUptB  #NCOC  #COVID19  #vaccination #Pakistan #children #coronavirus https://t.co/1k5hDPQE5e,b'brecordernews',"['NCOC', 'COVID19', 'vaccination', 'Pakistan', 'children', 'coronavirus']",42747,2
2021-11-20 11:23:37+00:00,Today Sat Nov 20   #Walk in vaccinations 9am - 1pm 5-11 years old. No appointments necessary  #covid19 #pfizer #vaccination #vaccinations #stamfordy #stamfordymca,b'stamfordymca',"['Walk', 'covid19', 'pfizer', 'vaccination', 'vaccinations', 'stamfordy', 'stamfordymca']",500,0
